developer_id,username,repository_id,repository_name,total_commits,total_lines_added,total_lines_removed,total_lines_changed,total_files_changed,total_pull_requests,total_issues,total_reviews
7316730,monkeywithacupcake,12,WhatTodo,1,2.0,2.0,4.0,2.0,1,1,2
7347854,JigneshWorld,12,WhatTodo,1,20.0,21.0,41.0,2.0,1,1,1
14251963,burhanrashid52,12,WhatTodo,177,3371676.0,1563716.0,4935392.0,260260.0,14,22,0
15886737,nitishk72,12,WhatTodo,1,2.0,0.0,2.0,2.0,1,1,2
34301187,AyushBherwani1998,12,WhatTodo,10,27664.0,10276.0,37940.0,2058.0,1,1,14
38547278,vladmeer,12,WhatTodo,2,4.0,0.0,4.0,48.0,1,2,0
43840569,marvinIsSacul,12,WhatTodo,1,0.0,4.0,4.0,4.0,2,2,0
87760993,narivo,12,WhatTodo,1,52.0,52.0,104.0,52.0,2,2,26
113328135,AslamThachapalli,12,WhatTodo,2,172.0,156.0,328.0,48.0,2,2,2
131735752,Felix-Zhenghao,12,WhatTodo,1,4.0,1.0,5.0,1.0,1,1,0
