developer_id,username,repository_id,repository_name,total_commits,total_lines_added,total_lines_removed,total_lines_changed,total_files_changed,total_pull_requests,total_issues,total_reviews
13175100,vagisha-nidhi,14,SimplCommerce,0,0.0,0.0,0.0,0.0,1,0,0
13528809,zbseattle,14,SimplCommerce,0,0.0,0.0,0.0,0.0,0,0,0
13609099,thangln1003,14,SimplCommerce,0,0.0,0.0,0.0,0.0,0,0,0
13646412,N8hax,14,SimplCommerce,1,52.0,28.0,80.0,6.0,1,1,0
13746289,codingdefined,14,SimplCommerce,0,0.0,0.0,0.0,0.0,2,0,3
15114783,moldfield1995,14,SimplCommerce,1,28.0,11.0,39.0,2.0,1,1,0
15319563,levkin77,14,SimplCommerce,1,881.0,124.0,1005.0,23.0,1,0,0
15654411,thanhxuanhd,14,SimplCommerce,0,0.0,0.0,0.0,0.0,1,0,0
15705027,AdnanCukur,14,SimplCommerce,0,0.0,0.0,0.0,0.0,0,0,0
16071695,sau-lanvy,14,SimplCommerce,0,0.0,0.0,0.0,0.0,0,0,0
16771375,s0uven1r,14,SimplCommerce,1,340.0,278.0,618.0,12.0,1,2,0
18490641,justindongqiang,14,SimplCommerce,0,0.0,0.0,0.0,0.0,3,0,3
19407181,IamGanesh19,14,SimplCommerce,1,4200.0,4.0,4204.0,25.0,1,0,0
19508650,rajndev,14,SimplCommerce,1,16.0,16.0,32.0,2.0,1,2,0
20052233,kaylangan,14,SimplCommerce,0,0.0,0.0,0.0,0.0,1,0,0
20779798,wwrighter,14,SimplCommerce,0,0.0,0.0,0.0,0.0,0,0,0
22775080,michael-nee,14,SimplCommerce,1,9178.0,158.0,9336.0,56.0,2,0,1
25871661,AreebaKhalid,14,SimplCommerce,1,35.0,2.0,37.0,2.0,1,1,0
25884998,teeshter,14,SimplCommerce,0,0.0,0.0,0.0,0.0,0,0,0
26115362,DatNgoHaVan,14,SimplCommerce,1,345.0,0.0,345.0,1.0,1,0,0
26991252,starovernet,14,SimplCommerce,1,928.0,104.0,1032.0,64.0,1,0,4
28632905,adrianBasa,14,SimplCommerce,0,0.0,0.0,0.0,0.0,4,0,5
34030756,onetarun,14,SimplCommerce,2,880.0,352.0,1232.0,88.0,4,4,8
36771401,azure-pipelines[bot],14,SimplCommerce,0,0.0,0.0,0.0,0.0,0,0,0
37229862,ibaxo,14,SimplCommerce,0,0.0,0.0,0.0,0.0,1,0,0
39017079,tavershimafx,14,SimplCommerce,1,90.0,55.0,145.0,10.0,1,5,0
40465539,magnuskarlssonhm,14,SimplCommerce,1,1.0,1.0,2.0,1.0,1,0,0
41870788,SwarnenduDasKW,14,SimplCommerce,1,8.0,6.0,14.0,4.0,1,2,0
42877376,JwanKhalaf,14,SimplCommerce,0,0.0,0.0,0.0,0.0,0,0,0
43200383,s04v,14,SimplCommerce,9,982368.0,17952.0,1000320.0,7968.0,8,12,3
47155723,TedStryker,14,SimplCommerce,1,222.0,0.0,222.0,2.0,1,0,0
47943146,marblekirby,14,SimplCommerce,0,0.0,0.0,0.0,0.0,0,0,0
49372861,Arunkumar0610,14,SimplCommerce,4,135432.0,0.0,135432.0,1620.0,9,9,13
56063947,indrivotech,14,SimplCommerce,1,824.0,0.0,824.0,2.0,1,2,0
66162248,mukeworkonline,14,SimplCommerce,1,1.0,1.0,2.0,1.0,1,0,1
70510347,gstars271,14,SimplCommerce,1,16.0,16.0,32.0,1.0,1,1,0
