developer_id,username,repository_id,repository_name,total_commits,total_lines_added,total_lines_removed,total_lines_changed,total_files_changed,total_pull_requests,total_issues,total_reviews
144461,mdekrey,14,SimplCommerce,2,44.0,2.0,46.0,4.0,2,0,0
226980,oliver254,14,SimplCommerce,1,87.0,0.0,87.0,3.0,1,3,0
289607,thiennn,14,SimplCommerce,115,30776760.0,64063440.0,94840200.0,696060.0,45,12,2
585318,domino14,14,SimplCommerce,2,117.0,117.0,234.0,72.0,3,3,2
646788,alinooshabadi,14,SimplCommerce,0,0.0,0.0,0.0,0.0,1,0,0
656141,minhhut,14,SimplCommerce,1,5.0,2.0,7.0,3.0,1,1,0
867631,afernandes,14,SimplCommerce,3,172107.0,8229.0,180336.0,2002.0,6,1,8
1372010,tabiodun,14,SimplCommerce,0,0.0,0.0,0.0,0.0,0,0,0
1761995,tdavisjr,14,SimplCommerce,0,0.0,0.0,0.0,0.0,0,0,0
1798510,MaherJendoubi,14,SimplCommerce,0,0.0,0.0,0.0,0.0,4,0,3
1973979,kashifsoofi,14,SimplCommerce,1,11.0,10.0,21.0,2.0,1,0,0
2341142,rafsanulhasan,14,SimplCommerce,0,0.0,0.0,0.0,0.0,0,0,0
2796539,jducobu,14,SimplCommerce,1,216.0,0.0,216.0,54.0,8,2,2
3237266,hishamco,14,SimplCommerce,15,12780.0,9780.0,22560.0,3360.0,10,6,2
3294321,Edison0621,14,SimplCommerce,1,247.0,112.0,359.0,11.0,1,1,1
3490380,imaximov,14,SimplCommerce,0,0.0,0.0,0.0,0.0,0,0,0
3778103,dohuy91,14,SimplCommerce,0,0.0,0.0,0.0,0.0,0,0,0
5157769,oferze,14,SimplCommerce,0,0.0,0.0,0.0,0.0,0,0,0
5377332,horseyhorsey,14,SimplCommerce,5,2802.0,672.0,3474.0,162.0,6,0,0
6860233,paragpkulkarni,14,SimplCommerce,1,4.0,6.0,10.0,3.0,1,0,0
7017193,Nongzhsh,14,SimplCommerce,1,48784.0,2220.0,51004.0,428.0,3,0,2
7029885,fhebel,14,SimplCommerce,9,65065.0,14105.0,79170.0,7644.0,8,7,6
7543895,edumartins7,14,SimplCommerce,0,0.0,0.0,0.0,0.0,0,0,0
7647541,galminana,14,SimplCommerce,0,0.0,0.0,0.0,0.0,0,0,0
8300702,arst,14,SimplCommerce,0,0.0,0.0,0.0,0.0,0,0,0
8462684,kwinyyyc,14,SimplCommerce,0,0.0,0.0,0.0,0.0,0,0,0
8518239,gitter-badger,14,SimplCommerce,0,0.0,0.0,0.0,0.0,0,0,0
8521584,madking2010,14,SimplCommerce,0,0.0,0.0,0.0,0.0,0,0,0
8558078,MarshalOfficial,14,SimplCommerce,1,1.0,1.0,2.0,1.0,1,0,0
9089970,YuriiPovkh,14,SimplCommerce,0,0.0,0.0,0.0,0.0,0,0,0
9105939,iyilm4z,14,SimplCommerce,0,0.0,0.0,0.0,0.0,0,0,0
10249434,duykhuongkid,14,SimplCommerce,0,0.0,0.0,0.0,0.0,0,0,0
10689039,dim5,14,SimplCommerce,1,2.0,2.0,4.0,2.0,1,0,0
12016315,vladGA,14,SimplCommerce,0,0.0,0.0,0.0,0.0,0,0,0
